Stkcd,Accper,Indcd
000001,2018/3/31,J66
000001,2018/6/30,J66
000001,2018/9/30,J66
000001,2018/12/31,J66
000002,2018/3/31,K70
000002,2018/6/30,K70
000002,2018/9/30,K70
000002,2018/12/31,K70
000004,2018/3/31,C27
000004,2018/6/30,C27
000004,2018/9/30,C27
000004,2018/12/31,C27
000005,2018/3/31,N77
000005,2018/6/30,N77
000005,2018/9/30,N77
000005,2018/12/31,N77
000006,2018/3/31,K70
000006,2018/6/30,K70
000006,2018/9/30,K70
000006,2018/12/31,K70
000007,2018/3/31,K70
000007,2018/6/30,K70
000007,2018/9/30,K70
000007,2018/12/31,K70
000008,2018/3/31,C37
000008,2018/6/30,C37
000008,2018/9/30,C37
000008,2018/12/31,C37
000009,2018/3/31,S90
000009,2018/6/30,S90
000009,2018/9/30,S90
000009,2018/12/31,S90
000010,2018/3/31,E48
000010,2018/6/30,E48
000010,2018/9/30,E48
000010,2018/12/31,E48
000011,2018/3/31,K70
000011,2018/6/30,K70
000011,2018/9/30,K70
000011,2018/12/31,K70
000012,2018/3/31,C30
000012,2018/6/30,C30
000012,2018/9/30,C30
000012,2018/12/31,C30
000014,2018/3/31,K70
000014,2018/6/30,K70
000014,2018/9/30,K70
000014,2018/12/31,K70
000016,2018/3/31,C39
000016,2018/6/30,C39
000016,2018/9/30,C39
000016,2018/12/31,C39
000017,2018/3/31,C37
000017,2018/6/30,C37
000017,2018/9/30,C37
000017,2018/12/31,C37
000018,2018/3/31,E50
000018,2018/6/30,E50
000018,2018/9/30,E50
000018,2018/12/31,E50
000019,2018/6/30,C15
000019,2018/9/30,C15
000019,2018/12/31,C15
000020,2018/3/31,C39
000020,2018/6/30,C39
000020,2018/9/30,C39
000020,2018/12/31,C39
000021,2018/3/31,C39
000021,2018/6/30,C39
000021,2018/9/30,C39
000021,2018/12/31,C39
000022,2018/9/30,G55
000023,2018/3/31,C30
000023,2018/6/30,C30
000023,2018/9/30,C30
000023,2018/12/31,C30
000025,2018/3/31,F51
000025,2018/6/30,F51
000025,2018/9/30,F51
000025,2018/12/31,F51
000026,2018/3/31,F52
000026,2018/6/30,F52
000026,2018/9/30,F52
000026,2018/12/31,F52
000027,2018/3/31,D44
000027,2018/6/30,D44
000027,2018/9/30,D44
000027,2018/12/31,D44
000028,2018/3/31,F51
000028,2018/6/30,F51
000028,2018/9/30,F51
000028,2018/12/31,F51
000030,2018/3/31,C36
000030,2018/6/30,C36
000030,2018/9/30,C36
000030,2018/12/31,C36
000031,2018/6/30,K70
000031,2018/9/30,K70
000031,2018/12/31,K70
000032,2018/3/31,F51
000032,2018/6/30,F51
000032,2018/9/30,F51
000032,2018/12/31,F51
000034,2018/6/30,F51
000034,2018/9/30,F51
000034,2018/12/31,F51
000035,2018/9/30,N77
000035,2018/12/31,N77
000036,2018/3/31,K70
000036,2018/6/30,K70
000036,2018/9/30,K70
000036,2018/12/31,K70
000037,2018/3/31,D44
000037,2018/6/30,D44
