Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
000001,2018-12-31,1.39
000002,2018-12-31,3.06
000005,2018-12-31,0.1406
000006,2018-12-31,0.6476
000008,2018-12-31,0.116
000010,2018-12-31,-0.8922
000012,2018-12-31,0.16
000016,2018-12-31,0.1708
000018,2018-12-31,-1.004
000020,2018-12-31,0.0116
000021,2018-12-31,0.3603
000022,2018-12-31,0.61
000023,2018-12-31,0.1897
000026,2018-12-31,0.419
000027,2018-12-31,0.17
000028,2018-12-31,2.83
000030,2018-12-31,0.49
000031,2018-12-31,0.77
000034,2018-12-31,0.7834
000035,2018-12-31,0.1602
000036,2018-12-31,0.849
000038,2018-12-31,-4.877
000039,2018-12-31,1.11
000040,2018-12-31,0.83
000042,2018-12-31,0.6719
000043,2018-12-31,1.2844
000045,2018-12-31,-0.04
000046,2018-12-31,0.1791
000049,2018-12-31,1.9556
000050,2018-12-31,0.4599
000055,2018-12-31,1.91
000056,2018-12-31,0.08
000058,2018-12-31,0.0225
000059,2018-12-31,0.66
000060,2018-12-31,0.26
000061,2018-12-31,0.0252
000062,2018-12-31,0.9504
000063,2018-12-31,-1.67
000065,2018-12-31,0.77
000066,2018-12-31,0.336
000068,2018-12-31,-0.132
000069,2018-12-31,1.2907
000070,2018-12-31,0.4396
000078,2018-12-31,0.156
000088,2018-12-31,0.23
000089,2018-12-31,0.3257
000090,2018-12-31,0.54
000096,2018-12-31,0.2
000099,2018-12-31,0.25
000100,2018-12-31,0.2566
000150,2018-12-31,0.283
000151,2018-12-31,0.2818
000155,2018-12-31,0.24
000156,2018-12-31,0.45
000157,2018-12-31,0.26
000158,2018-12-31,0.11
000166,2018-12-31,0.19
000301,2018-12-31,0.26
000333,2018-12-31,3.08
000338,2018-12-31,1.08
000400,2018-12-31,0.198
000401,2018-12-31,1.101
000402,2018-12-31,1.09
000403,2018-12-31,0.2934
000404,2018-12-31,0.1037
000407,2018-12-31,0.12
000408,2018-12-31,0.4264
000409,2018-12-31,0.0606
000410,2018-12-31,-1.03
000411,2018-12-31,0.45
000413,2018-12-31,0.38
000415,2018-12-31,0.3686
000416,2018-12-31,0.0376
000417,2018-12-31,0.2879
000418,2018-12-31,2.94
000419,2018-12-31,0.2602
000420,2018-12-31,0.0672
000421,2018-12-31,0.2501
000422,2018-12-31,0.23
000423,2018-12-31,3.1878
000425,2018-12-31,0.261
000426,2018-12-31,-0.0918
000428,2018-12-31,-0.469
000429,2018-12-31,0.8
000430,2018-12-31,0.07
000488,2018-12-31,0.51
000498,2018-12-31,0.5924
000501,2018-12-31,1.39
000502,2018-12-31,0.42
000503,2018-12-31,-0.2089
000505,2018-12-31,0.24
000507,2018-12-31,0.2138
000513,2018-12-31,1.51
000514,2018-12-31,0.0298
000516,2018-12-31,1.11
000519,2018-12-31,0.247
000521,2018-12-31,0.037
000523,2018-12-31,0.05
000524,2018-12-31,0.31
000525,2018-12-31,1.096
000526,2018-12-31,0.1346
000528,2018-12-31,0.5402
000529,2018-12-31,0.29
000530,2018-12-31,0.13
000531,2018-12-31,0.1196
000532,2018-12-31,0.1586
000533,2018-12-31,-1.4
000534,2018-12-31,0.12
000536,2018-12-31,-1.7955
000537,2018-12-31,1.34
000538,2018-12-31,3.18
000539,2018-12-31,0.09
000540,2018-12-31,0.2098
000541,2018-12-31,0.2699
000543,2018-12-31,0.31
000544,2018-12-31,0.43
000545,2018-12-31,0.103
000546,2018-12-31,0.5245
000547,2018-12-31,0.31
000548,2018-12-31,0.08
000550,2018-12-31,0.11
000551,2018-12-31,0.22
000552,2018-12-31,0.2505
000553,2018-12-31,0.98
000554,2018-12-31,0.0039
000555,2018-12-31,0.0437
000557,2018-12-31,0.1
000558,2018-12-31,-0.05
000559,2018-12-31,0.262
000560,2018-12-31,0.2714
000561,2018-12-31,0.15
000563,2018-12-31,0.0912
000564,2018-12-31,0.1269
000565,2018-12-31,0.1
000566,2018-12-31,0.09
000567,2018-12-31,0.3265
000568,2018-12-31,2.38
000570,2018-12-31,0.1112
000571,2018-12-31,-1.0788
000581,2018-12-31,2.37
000582,2018-12-31,0.46
000584,2018-12-31,0.1962
000586,2018-12-31,-0.015
000587,2018-12-31,-1.45
000590,2018-12-31,-0.1594
000591,2018-12-31,0.287
000592,2018-12-31,0.0136
000593,2018-12-31,-0.518
000596,2018-12-31,3.37
000597,2018-12-31,0.36
000598,2018-12-31,0.33
000599,2018-12-31,0.03
000600,2018-12-31,0.241
000601,2018-12-31,0.28
000603,2018-12-31,0.6
000605,2018-12-31,0.17
000606,2018-12-31,0.1218
000607,2018-12-31,0.1
000608,2018-12-31,0.02
000609,2018-12-31,-0.2
000610,2018-12-31,0.4066
000612,2018-12-31,-0.371
000613,2018-12-31,0.0018
000615,2018-12-31,0.2
000616,2018-12-31,0.24
000617,2018-12-31,0.8
000619,2018-12-31,0.027
