嚜燕ostDate,Stockcode,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2018/11/4,000002,1,9976,39,39,3,9.17,3.5,1683,374,K70,,
2018/11/9,000002,1,15241,55,6,3,2.83,4,2170,308,K70,,
2018/11/10,000002,1,3998,11,1,1,0.54,3.5,8837,393,K70,,
2018/11/11,000002,2,3652,7,2.5,0,0.54,3.5,8856,394,K70,,
2018/11/14,000002,1,1976,4,1,1,0.55,3.5,8495,264,K70,,
2018/11/15,000002,1,8308,18,16,0,9.27,3.5,716,345,K70,,
2018/11/16,000002,2,9425.5,18.5,16.5,0.5,9.27,3.5,716,345,K70,,
2018/11/18,000002,1,6829,22,5,0,3.62,4,5452,358,K70,,
2018/11/20,000002,1,1822,1,0,0,4.05,3,1160,343,K70,,
2018/11/21,000002,2,48592.5,110.5,99,6.5,9.22,3,516,5879,K70,,
2018/11/22,000002,1,13959,24,10,5,4.2,4,2440,35815,K70,,
2018/11/23,000002,1,3376,12,2,0,3.64,4,5522,327,K70,,
2018/3/26,000002,1,36856,12,12,5,5,5,3280,0,K70,,
2018/3/27,000002,1,1,2,0,0,7.96,4,0,371,K70,,
2018/3/29,000002,1,3939,4,1,1,4.44,2.5,118,350,K70,,
2018/3/30,000002,24,1774.38,3.33,2.71,0.04,8.53,3.5,803,379,K70,,
2018/4/2,000002,7,2375.43,1.86,1.71,0,8.75,3.5,1232,331,K70,,
2018/4/3,000002,24,3890.33,5.75,3.67,0,8.6,3.25,389,385.5,K70,,
2018/4/4,000002,20,4642.1,2.8,2.65,0.5,8.55,3.5,803,372,K70,,
2018/4/5,000002,3,46636.67,69,65,3.67,4.03,4,1384.5,171,K70,,
2018/4/8,000002,2,2500959.5,1339,1227,36,5.03,5,3280,0,K70,,
2018/4/9,000002,1,3181,4,3,0,8.56,3.5,1003,350,K70,,
2018/4/11,000002,1,8668,10,9,0,2.88,3.5,962,350,K70,,
2018/4/15,000002,3,2508.33,4.67,4.33,0,8.58,3.5,1003,350,K70,,
2018/1/6,000002,1,5878,4,0,0,3.35,4,5716,328,K70,,
2018/1/14,000002,8,9982.75,30.75,0,0.63,8.38,3.5,584,351,K70,,
2018/1/25,000002,4,3402.5,3,3,0,0.4,2.5,272,358,K70,,
2018/2/4,000002,1,1,9,0,1,8.42,4,9,305,K70,,
2018/2/7,000002,1,1929725,360,0,1,4.27,3.5,4646,311,K70,,
2018/2/21,000002,2,2283,2,2,0,8.43,3.5,803,372,K70,,
2018/12/11,000008,2,2139,8.5,3.5,0.5,4.39,2.5,776.5,349.5,C37,,
2018/12/18,000008,1,2537,5,5,3,3.02,3,1545,343,C37,,
2018/10/29,000008,1,14190,2,2,3,5.59,3.5,713,0,C37,,
2018/11/30,000008,1,3222,10,10,3,2.84,3,1403,297,C37,,
2018/11/27,000012,1,3553,5,3,2,3.89,3,231,385,C30,,
2018/12/10,000012,2,5301,19,13,2,3.92,3,177,392,C30,,
2018/11/28,000012,1,1972,2,0,1,4.7,4,260,370,C30,,
2018/11/5,000012,1,2221,3,3,0,4.04,2.5,1141,324,C30,,
2018/9/29,000012,1,24809,60,42,6,3.73,3,231,385,C30,,
2018/6/22,000012,1,25713,21,21,2,5.24,3.5,1191,0,C30,,
2018/11/2,000012,1,9299,13,8,1,3.82,3,198,304,C30,,
2018/9/19,000012,1,3898,5,5,0,6.53,3,1495,191,C30,,
2018/8/2,000012,1,19352,27,15,7,3.57,3,198,304,C30,,
2018/1/9,000012,1,5826,5,3,2,1.47,2.5,77,369,C30,,
2018/8/3,000012,1,8362,11,4,2,3.57,3,177,393,C30,,
2018/4/22,000012,1,70965,84,55,20,2.91,3,519,314,C30,,
2018/6/1,000012,1,8290,8,6,6,3.4,3,223,334,C30,,
2018/5/22,000016,2,11181,44,29.5,33.5,3.99,3.25,2654.5,4200.5,C39,,
2018/12/8,000016,1,15329,248,10,36,2.26,2.5,359,32862,C39,,
2018/11/1,000016,1,36944,344,24,79,2.16,2.5,360,32903,C39,,
2018/11/12,000016,1,2879,2,0,0,6.26,3,411,371,C39,,
2018/11/16,000016,1,3296,2,1,2,6.59,2.5,72,348,C39,,
2018/9/21,000016,1,43965,17,17,1,5.49,3.5,2086,0,C39,,
2018/9/5,000016,1,14960,18,4,0,5.04,3,272,301,C39,,
2018/8/7,000016,1,42193,424,42,274,1.92,2.5,357,342,C39,,
2018/10/28,000016,1,5322,7,4,1,7.98,3.5,1155,332,C39,,
2018/8/3,000016,1,66912,418,170,28,2.33,2.5,383,3630,C39,,
2018/9/17,000016,1,40396,397,396,168,2.86,3.5,5157,6451,C39,,
2018/10/26,000016,1,4395,3,2,1,7.97,3.5,1155,332,C39,,
2018/10/12,000016,1,37514,260,260,96,2.99,2.5,1466,240,C39,,
2018/10/11,000016,1,36032,292,25,90,2.1,2.5,360,32877,C39,,
2018/12/27,000021,8,2653.75,3.88,3,1.38,4.9,3,679.33,9369.67,C39,,
2018/12/28,000021,2,4329,4.5,0,1,4.89,3.5,1513,9518,C39,,
2018/4/20,000021,1,35183,25,23,12,3.78,2.5,173,386,C39,,
2018/12/21,000021,3,5277.33,1.67,1,0.33,3.38,3,2051.67,294.33,C39,,
2018/11/5,000021,1,15623,2,1,4,4.9,3.5,650,11941,C39,,
2018/7/22,000021,1,14381,9,3,1,2.89,3.5,2551,31633,C39,,
2018/4/2,000021,1,65364,78,6,20,2.58,3.5,2046,126,C39,,
2018/11/17,000021,5,5831.6,3.4,3.6,1.8,3.23,2.75,318,446.5,C39,,
2018/9/5,000021,1,25558,8,8,1,5.45,3.5,1689,0,C39,,
2018/7/12,000021,1,11058,6,3,6,4.42,3.5,1087,8905,C39,,
2018/11/21,000021,1,2603,2,2,1,4.93,3,1044,305,C39,,
2018/7/21,000021,1,6252,7,3,1,4.45,3.5,1084,8903,C39,,
2018/2/12,000021,1,64764,15,15,13,4.88,3.5,1656,0,C39,,
2018/11/28,000021,1,2986,3,2,3,4.81,3.5,1033,8637,C39,,
2018/7/19,000021,2,3320.5,1.5,1,1,4.67,3,486,355,C39,,
2018/11/7,000021,2,7149,5,3.5,0.5,4.26,3,728,4547.5,C39,,
2018/11/13,000021,1,4349,2,2,0,4.9,3.5,642,11906,C39,,
2018/9/26,000021,1,13883,5,3,1,11.61,2.5,225,303,C39,,
2018/12/13,000021,1,7700,1,1,0,2.6,2.5,287,0,C39,,
2018/9/10,000026,1,2954,1,0,1,0.16,3,971,379,F52,,
2018/11/12,000026,1,8443,0,1,1,5.63,3,1028,0,F52,,
2018/12/18,000026,2,17482.5,21,6.5,3,5.08,3.25,935,153,F52,,
2018/3/8,000026,1,26321,44,6,11,0.94,3.5,1271,321,F52,,
2018/5/20,000026,1,15482,38,1,3,4.39,3.5,674,327,F52,,
2018/9/21,000027,1,9429,1,1,1,1.34,2.5,378,0,D44,,
2018/12/21,000027,1,4835,4,0,0,3.28,2.5,263,337,D44,,
2018/11/23,000028,1,4417,6,2,0,4.61,3,513,337,F51,,
2018/10/30,000028,1,8585,2,0,0,5.6,3,631,0,F51,,
2018/11/11,000028,2,3423,4.5,1,0,0.54,3.5,8875,394.5,F51,,
2018/10/24,000028,1,3332,1,1,0,0.49,3.5,8837,393,F51,,
2018/7/15,000031,1,9521,3,1,1,0.22,3.5,9298,299,K70,,
2018/9/21,000031,1,5270,2,0,0,3.38,3,1899,300,K70,,
2018/9/27,000031,1,3163,1,0,0,3.4,3,1901,375,K70,,
2018/11/10,000031,1,7215,9,1,1,0.54,3.5,8837,393,K70,,
2018/12/18,000031,1,2433,5,5,3,3.02,3,1545,343,K70,,
2018/12/29,000031,1,1724,2,1,3,3.47,3.5,478,362,K70,,
2018/5/4,000031,1,17275,13,0,4,11.67,4,608,352,K70,,
2018/5/17,000034,1,9634,16,0,0,3.71,4,5716,335,F51,,
2018/7/9,000034,1,6853,26,7,1,2.85,3.5,2324,394,F51,,
2018/10/23,000034,1,4756,9,5,2,4.6,5,3317,316,F51,,
2018/11/9,000034,2,14293.5,4,4,3,5.62,3.5,1894,0,F51,,
2018/12/18,000034,1,3102,5,5,4,3.02,3,1545,343,F51,,
2018/12/27,000034,3,4264.67,9,1.67,2,3.32,2.75,1888.5,10552,F51,,
2018/12/10,000035,3,4475.67,15.67,3,2,4.35,3.5,2225.33,320.67,N77,,
2018/11/6,000035,1,5949,8,2,0,3.59,4,5452,315,N77,,
2018/12/4,000035,1,4056,12,0,0,3.67,4,5090,376,N77,,
2018/12/21,000035,1,5070,3,2,5,1.04,3.5,238,393,N77,,
2018/9/10,000035,1,3464,4,1,0,3.74,3.5,3748,354,N77,,
2018/9/24,000035,1,11540,23,5,5,1.55,2.5,265,314,N77,,
2018/10/9,000035,3,5069.33,4.33,1.33,0.33,1.59,2.5,265,314,N77,,
2018/10/11,000035,1,3879,2,1,2,1.59,2.5,265,314,N77,,
2018/10/31,000035,1,5326,6,3,1,1.65,2.5,265,314,N77,,
2018/9/7,000035,1,2155,1,1,0,4.76,2.5,213,273,N77,,
2018/7/19,000035,1,43194,33,33,3,5.32,3.5,1544,0,N77,,
2018/7/17,000035,2,35142,21.5,21.5,7.5,5.31,3.5,1627,0,N77,,
2018/8/31,000035,1,3636,3,3,0,1.48,2.5,265,314,N77,,
2018/7/16,000035,1,58437,48,48,8,5.31,3.5,1640,0,N77,,
2018/9/15,000036,1,3373,2,1,0,5.37,3.5,471,360,K70,,
2018/7/14,000036,1,10597,12,5,2,0.21,3.5,9298,299,K70,,
2018/11/13,000036,2,18641.5,17.5,7.5,11,6.05,3.25,272.5,213.5,K70,,
2018/6/28,000036,1,7928,7,2,2,0.17,3.5,9298,299,K70,,
2018/11/18,000036,1,4642,4,4,0,1.5,2.5,455,0,K70,,
2018/7/1,000036,2,17446.5,29.5,13,4.5,6.78,3.5,2057,8585,K70,,
2018/11/14,000036,3,9289,5.33,4.33,2.33,1.8,2.67,3125.67,160.33,K70,,
2018/11/23,000036,1,3504,2,2,1,1.52,2.5,455,0,K70,,
2018/12/11,000036,1,4939,2,2,0,1.56,2.5,455,0,K70,,
2018/6/25,000036,1,4255,5,1,0,0.16,3.5,9298,299,K70,,
2018/11/15,000036,1,36285,35,35,17,5.64,3.5,1104,0,K70,,
2018/12/25,000036,2,5681.5,1,1,0,1.6,2.5,455,0,K70,,
2018/6/21,000036,1,5176,7,2,1,6.75,3.5,2012,314,K70,,
2018/11/29,000036,1,8664,2,3,2,1.53,2.5,455,0,K70,,
2018/10/13,000039,1,25745,85,72,7,1.52,2.5,275,301,C33,,
2018/10/20,000039,2,8011.5,9,3.5,4.5,1.54,2.5,316,2286,C33,,
2018/12/21,000039,2,4065,7,5.5,1.5,1.63,2.5,231.5,345.5,C33,,
2018/12/22,000039,1,3806,3,0,1,1.71,2.5,254,336,C33,,
2018/12/27,000039,3,2086.67,3,1.67,1.33,1.72,2.5,254,336,C33,,
2018/9/27,000039,1,15898,55,35,5,1.47,2.5,275,301,C33,,
2018/9/13,000039,1,19708,16,2,4,3.89,3.5,241,301,C33,,
2018/9/5,000039,1,41728,116,104,5,1.41,2.5,254,338,C33,,
2018/9/11,000039,1,16744,16,8,8,1.43,2.5,268,305,C33,,
2018/3/23,000039,1,6746,6,5,1,0.8,2.5,209,358,C33,,
2018/9/4,000039,1,10708,28,24,2,1.41,2.5,275,301,C33,,
2018/6/7,000039,3,4653.67,11.67,1.67,1.33,1.17,2.5,291,306,C33,,
2018/3/27,000039,1,5979,5,3,1,0.81,2.5,209,358,C33,,
2018/11/20,000040,1,2232,4,0,6,3.26,3,1308,313,D44,,
2018/10/10,000040,1,13363,68,63,11,3.15,3,1308,313,D44,,
2018/10/23,000040,1,28473,46,46,9,5.58,3.5,1935,0,D44,,
2018/9/13,000040,1,12703,28,24,3,3.07,2.5,1128,388,D44,,
2018/9/20,000040,1,9543,45,42,6,3.16,3,1097,390,D44,,
2018/9/26,000040,1,16378,55,53,7,3.11,2.5,1128,388,D44,,
2018/9/11,000040,1,13933,41,0,4,3.07,2.5,1128,388,D44,,
2018/8/29,000040,1,22997,89,0,8,3.03,3,1308,313,D44,,
2018/6/7,000040,1,112775,21,0,7,5.2,3.5,1924,0,D44,,
2018/4/10,000040,1,19627,10,10,2,5.04,3.5,1927,0,D44,,
2018/5/3,000040,1,98130,12,12,9,5.1,3.5,1929,0,D44,,
2018/12/25,000042,1,5577,10,0,0,5.75,3,1507,0,K70,,
2018/12/6,000042,1,2202,3,3,0,0.14,2.5,370,328,K70,,
2018/12/28,000042,3,3480.67,2,1.33,0,4.12,2.5,674,120.67,K70,,
2018/8/31,000042,1,4149,1,1,0,7.61,2.5,128,54,K70,,
2018/8/24,000042,1,3789,2,2,1,3.02,3,1972,308,K70,,
2018/5/11,000042,1,2008,1,1,0,3.17,2.5,275,393,K70,,
2018/12/26,000049,1,4210,1,1,6,5.75,3,894,0,C38,,
2018/12/29,000050,1,47695,16,16,7,5.76,3.5,1042,0,C39,,
2018/12/28,000050,6,2405.17,2.67,1,0.33,3.55,2.5,1211.67,128.67,C39,,
2018/1/29,000050,1,477963,351,251,70,3.07,3.5,18,350,C39,,
2018/3/12,000050,1,54206,44,0,18,4.96,3.5,1077,0,C39,,
2018/5/17,000050,1,160483,26,0,24,5.14,3.5,1077,0,C39,,
2018/6/1,000050,2,40527,12,0,3,5.18,3.5,1077,0,C39,,
2018/6/4,000050,1,1033,0,0,1,3.13,2.5,217,356,C39,,
2018/7/4,000050,1,32225,11,0,4,5.27,3.5,1077,0,C39,,
2018/7/11,000050,1,85462,29,29,4,5.29,3.5,1077,0,C39,,
2018/7/24,000050,2,104146.5,27,27,15,5.33,3.5,1077,0,C39,,
2018/7/25,000050,1,16835,2,0,2,5.33,3.5,1077,0,C39,,
2018/9/20,000050,1,84215,10,10,2,5.48,3.5,1077,0,C39,,
2018/10/25,000050,1,55271,175,0,34,3.66,3.5,2463,342,C39,,
2018/10/29,000050,2,21215,9.5,9,4,5.33,2.75,564,54.5,C39,,
2018/11/22,000050,1,2637,2,1,0,3.55,2.5,828,334,C39,,
2018/12/7,000050,2,12324,7.5,0,4,5.7,3.5,1077,0,C39,,
2018/12/14,000050,2,2797,5.5,3,2,3.36,2.75,1679.5,270,C39,,
2018/12/18,000050,1,2789,5,5,4,3.02,3,1545,343,C39,,
2018/12/19,000050,1,1232,3,1,3,2.52,2.5,3154,317,C39,,
2018/12/13,000059,1,4686,9,4,0,2.9,3,726,330,C25,,
2018/12/26,000059,1,4101,10,0,2,11.67,3.5,3583,370,C25,,
2018/12/30,000059,4,4900.75,14,0,4.75,5.94,2.5,1357.67,346,C25,,
2018/12/31,000059,2,2031,8,0,1,7.72,2.75,2002,342.5,C25,,
2018/11/26,000059,1,8288,27,0,3,4.18,2.5,423,382,C25,,
2018/9/10,000059,1,5075,5,1,0,4.14,3.5,3766,14514,C25,,
2018/7/12,000059,1,24325,10,10,0,5.29,3.5,2072,0,C25,,
2018/10/23,000059,2,25519,4.5,3.5,5.5,5.51,2.75,1179,195,C25,,
2018/3/31,000059,1,25817,66,60,7,10.93,3.5,3610,396,C25,,
2018/11/29,000060,2,36665,72,39.5,16,11.8,4,1115,15440,C32,,
2018/12/28,000060,1,3303,2,2,4,4.37,2.5,376,285,C32,,
2018/4/19,000060,2,20197,40,13,4,5.4,4,3564,378,C32,,
2018/5/17,000060,1,3403,3,2,1,5.69,3,508,343,C32,,
2018/4/7,000060,1,577898,1028,734,35,2.91,3,184,340,C32,,
2018/3/28,000060,1,27840,60,0,6,5.34,4,3565,340,C32,,
2018/3/29,000060,1,63530,111,0,14,5.34,4,3565,340,C32,,
2018/4/20,000060,1,22162,24,0,7,5.4,4,3565,340,C32,,
2018/12/18,000060,1,3028,5,5,4,3.02,3,1545,343,C32,,
2018/12/25,000060,1,3713,4,1,1,4.16,2.5,845,315,C32,,
2018/4/9,000060,1,20050,22,10,6,5.37,4,3564,377,C32,,
2018/3/7,000060,1,94488,30,0,5,5.28,4,3565,340,C32,,
2018/2/20,000060,1,26388,26,6,1,5.24,4,3564,377,C32,,
2018/11/13,000062,1,7382,19,13,4,7.02,2.5,135,341,F51,,
2018/4/25,000062,1,36268,15,15,12,5.08,3,445,0,F51,,
2018/5/29,000062,1,9089,2,2,11,5.17,3,405,0,F51,,
2018/4/23,000062,1,66587,14,14,17,5.07,3,445,0,F51,,
2018/8/27,000063,3,3496,5.67,0.33,1.67,3.57,2.83,632,247.33,C39,,
2018/8/28,000063,5,7796.8,7.6,5.2,5.4,2.08,2.75,1529.75,4399.75,C39,,
2018/8/29,000063,2,630,1,1,0,0.84,2.5,823,59,C39,,
2018/8/31,000063,1,470,1,1,1,0.85,2.5,823,59,C39,,
2018/9/2,000063,1,4502,14,13,1,1.94,3,1476,381,C39,,
2018/9/6,000063,1,2220,6,0,0,3.42,4.5,40805,147683,C39,,
2018/9/12,000063,1,5912,7,7,1,2.84,3.5,11156,344,C39,,
2018/9/16,000063,1,6916,7,1,0,1.82,2.5,252,308,C39,,
2018/9/17,000063,1,21580,22,3,9,6.55,3.5,306,328,C39,,
2018/9/19,000063,4,5008.25,8.25,0.75,0.5,2.37,3.5,5370.5,2899,C39,,
2018/9/20,000063,2,6268.5,8.5,2.5,3.5,4.29,3,704,383,C39,,
2018/9/22,000063,1,7342,5,1,0,0.41,3.5,9386,299,C39,,
2018/9/25,000063,1,4791,5,3,0,5.28,3,579,308,C39,,
2018/9/27,000063,1,1717,1,1,1,0.92,2.5,823,59,C39,,
2018/10/5,000063,1,28609,50,37,17,1.92,2.5,475,346,C39,,
2018/10/10,000063,1,707,1,1,0,0.96,2.5,823,59,C39,,
2018/10/13,000063,1,4874,9,0,0,3.52,4.5,6194,317,C39,,
2018/10/17,000063,1,7103,13,0,1,3.53,4.5,6083,373,C39,,
2018/10/18,000063,2,17997,34.5,2.5,7.5,6.64,3.5,482,8916,C39,,
2018/10/24,000063,1,3054,2,0,1,0.49,3.5,8837,393,C39,,
2018/10/29,000063,1,1451,1,1,1,1.01,2.5,823,59,C39,,
2018/10/31,000063,1,24475,86,73,1,1.41,2.5,118,379,C39,,
2018/11/1,000063,1,65447,96,16,14,7.76,4.5,2539,97201,C39,,
2018/11/2,000063,1,36427,87,84,0,1.42,2.5,118,379,C39,,
2018/11/3,000063,1,19421,99,2,2,2.81,4,2167,322,C39,,
2018/11/9,000063,2,8122,28,0.5,3.5,1.94,3.25,1496.5,181.5,C39,,
2018/11/11,000063,2,4678,6.5,1.5,0.5,0.54,3.5,8856,394,C39,,
2018/11/14,000063,1,2054,4,1,1,0.55,3.5,8875,395,C39,,
2018/11/16,000063,2,1472.5,1.5,1.5,0.5,1.06,2.5,823,59,C39,,
2018/11/22,000063,1,11866,8,0,11,4.09,2.5,338,362,C39,,
2018/12/5,000063,1,9146,15,6,3,1.16,2.5,271,335,C39,,
2018/12/6,000063,2,5696.5,12.5,0.5,2.5,5.71,3,436.5,355,C39,,
2018/12/10,000063,1,13143,30,1,6,0.44,3.5,575,294,C39,,
2018/12/11,000063,2,48778,110,19,22.5,4.88,4,1803.5,7578.5,C39,,
