Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
000001,2017-12-31,1.3
000002,2017-12-31,2.54
000005,2017-12-31,0.0145
000006,2017-12-31,0.5968
000008,2017-12-31,0.311
000009,2017-12-31,0.06
000010,2017-12-31,-1.2794
000012,2017-12-31,0.35
000018,2017-12-31,0.22
000020,2017-12-31,0.0034
000021,2017-12-31,0.3679
000022,2017-12-31,0.782
000023,2017-12-31,0.2198
000026,2017-12-31,0.3196
000027,2017-12-31,0.19
000028,2017-12-31,2.47
000030,2017-12-31,0.64
000031,2017-12-31,0.52
000034,2017-12-31,1.1053
000035,2017-12-31,0.1729
000036,2017-12-31,1.177
000038,2017-12-31,0.6847
000039,2017-12-31,0.81
000040,2017-12-31,0.41
000042,2017-12-31,0.9256
000043,2017-12-31,0.2258
000045,2017-12-31,0.1
000046,2017-12-31,0.5564
000048,2017-12-31,-0.398
000049,2017-12-31,1.4643
000050,2017-12-31,0.5761
000055,2017-12-31,0.97
000056,2017-12-31,0.15
000058,2017-12-31,0.1777
000059,2017-12-31,1.15
000060,2017-12-31,0.46
000061,2017-12-31,0.0082
000062,2017-12-31,0.5716
000063,2017-12-31,1.09
000065,2017-12-31,0.97
000066,2017-12-31,0.204
000068,2017-12-31,0.0324
000069,2017-12-31,1.0533
000070,2017-12-31,0.4236
000078,2017-12-31,0.2427
000088,2017-12-31,0.21
000089,2017-12-31,0.3225
000090,2017-12-31,0.5
000096,2017-12-31,0.28
000099,2017-12-31,0.15
000100,2017-12-31,0.2178
000150,2017-12-31,0.3893
000151,2017-12-31,0.2952
000153,2017-12-31,0.2091
000155,2017-12-31,0.26
000156,2017-12-31,0.45
000157,2017-12-31,0.17
000158,2017-12-31,0.21
000166,2017-12-31,0.23
000301,2017-12-31,0.19
000333,2017-12-31,2.66
000338,2017-12-31,0.85
000400,2017-12-31,0.6087
000401,2017-12-31,0.08
000402,2017-12-31,1.01
000403,2017-12-31,0.08
000404,2017-12-31,0.152
000407,2017-12-31,0.07
000408,2017-12-31,0.61
000409,2017-12-31,-0.4401
000410,2017-12-31,0.15
000411,2017-12-31,0.4
000413,2017-12-31,0.33
000415,2017-12-31,0.43
000416,2017-12-31,0.0512
000417,2017-12-31,0.2733
000418,2017-12-31,2.38
000419,2017-12-31,0.2353
000421,2017-12-31,0.2594
000422,2017-12-31,-5.739
000423,2017-12-31,3.1258
000425,2017-12-31,0.14
000426,2017-12-31,0.3024
000428,2017-12-31,0.107
000429,2017-12-31,0.72
000430,2017-12-31,0.19
000488,2017-12-31,1.7
000498,2017-12-31,0.5143
000501,2017-12-31,1.66
000502,2017-12-31,-0.45
000503,2017-12-31,0.0186
000505,2017-12-31,0.2
000507,2017-12-31,0.1781
000511,2017-12-31,0.07
000513,2017-12-31,8.09
000514,2017-12-31,0.0958
000516,2017-12-31,0.1
000519,2017-12-31,0.09
000521,2017-12-31,0.0311
000523,2017-12-31,0.08
000524,2017-12-31,0.28
000525,2017-12-31,1.229
000526,2017-12-31,0.2535
000528,2017-12-31,0.287
000529,2017-12-31,0.27
000530,2017-12-31,0.23
000531,2017-12-31,0.2689
000532,2017-12-31,0.1401
000533,2017-12-31,0.06
000534,2017-12-31,0.18
000536,2017-12-31,0.0741
000537,2017-12-31,1.25
000538,2017-12-31,3.02
000539,2017-12-31,0.14
000540,2017-12-31,0.4455
000541,2017-12-31,0.5819
000543,2017-12-31,0.07
000544,2017-12-31,0.5
000545,2017-12-31,0.17
000546,2017-12-31,0.5537
000547,2017-12-31,0.19
000548,2017-12-31,0.26
000550,2017-12-31,0.8
000551,2017-12-31,0.17
000552,2017-12-31,0.2415
000553,2017-12-31,0.66
000554,2017-12-31,0.006
000555,2017-12-31,0.3141
000557,2017-12-31,0.06
000558,2017-12-31,0.0221
000559,2017-12-31,0.32
000560,2017-12-31,0.0623
000561,2017-12-31,0.12
000563,2017-12-31,0.114
000564,2017-12-31,0.2354
000565,2017-12-31,0.19
000566,2017-12-31,0.06
000567,2017-12-31,0.4846
000568,2017-12-31,1.798
000570,2017-12-31,0.0826
000571,2017-12-31,0.0263
000572,2017-12-31,-0.6046
000573,2017-12-31,0.0569
000581,2017-12-31,2.55
000582,2017-12-31,0.437
000584,2017-12-31,0.1468
000586,2017-12-31,0.004
000587,2017-12-31,0.48
000589,2017-12-31,-0.29
000590,2017-12-31,0.0824
000591,2017-12-31,0.268
000592,2017-12-31,0.0031
000593,2017-12-31,0.067
000596,2017-12-31,2.28
000597,2017-12-31,0.25
000598,2017-12-31,0.3
000599,2017-12-31,0.16
000600,2017-12-31,0.094
000601,2017-12-31,0.41
000603,2017-12-31,0.47
000605,2017-12-31,0.46
000606,2017-12-31,0.0839
000607,2017-12-31,0.14
000608,2017-12-31,0.2
000609,2017-12-31,0.46
000610,2017-12-31,-0.0784
000612,2017-12-31,0.148
