Stkcd,Accper,Indcd
000159,2017/3/31,F51
000159,2017/6/30,F51
000159,2017/9/30,F51
000159,2017/12/31,F51
000166,2017/3/31,J67
000166,2017/6/30,J67
000166,2017/9/30,J67
000166,2017/12/31,J67
000301,2017/3/31,D44
000301,2017/12/31,D44
000333,2017/3/31,C38
000333,2017/6/30,C38
000333,2017/9/30,C38
000333,2017/12/31,C38
000338,2017/3/31,C36
000338,2017/6/30,C36
000338,2017/9/30,C36
000338,2017/12/31,C36
000400,2017/3/31,C38
000400,2017/6/30,C38
000400,2017/9/30,C38
000400,2017/12/31,C38
000401,2017/3/31,C30
000401,2017/6/30,C30
000401,2017/9/30,C30
000402,2017/3/31,K70
000402,2017/6/30,K70
000402,2017/9/30,K70
000402,2017/12/31,K70
000403,2017/3/31,C27
000403,2017/6/30,C27
000403,2017/9/30,C27
000403,2017/12/31,C27
000404,2017/3/31,C34
000404,2017/6/30,C34
000404,2017/9/30,C34
000404,2017/12/31,C34
000407,2017/3/31,D45
000407,2017/6/30,D45
000407,2017/9/30,D45
000407,2017/12/31,D45
000408,2017/3/31,C26
000408,2017/6/30,C26
000408,2017/9/30,C26
000408,2017/12/31,C26
000409,2017/3/31,S90
000409,2017/6/30,S90
000409,2017/9/30,S90
000409,2017/12/31,S90
000410,2017/3/31,C34
000410,2017/6/30,C34
000410,2017/9/30,C34
000410,2017/12/31,C34
000411,2017/3/31,F51
000411,2017/6/30,F51
000411,2017/9/30,F51
000411,2017/12/31,F51
000413,2017/3/31,C39
000413,2017/6/30,C39
000413,2017/9/30,C39
000413,2017/12/31,C39
000415,2017/3/31,L71
000415,2017/6/30,L71
000415,2017/9/30,L71
000415,2017/12/31,L71
000416,2017/3/31,J69
000416,2017/6/30,J69
000416,2017/9/30,J69
000416,2017/12/31,J69
000417,2017/3/31,F52
000417,2017/6/30,F52
000417,2017/9/30,F52
000417,2017/12/31,F52
000418,2017/3/31,C38
000418,2017/6/30,C38
000418,2017/9/30,C38
000418,2017/12/31,C38
000419,2017/3/31,F52
000419,2017/6/30,F52
000419,2017/9/30,F52
000419,2017/12/31,F52
000420,2017/3/31,C28
000420,2017/6/30,C28
000420,2017/9/30,C28
000420,2017/12/31,C28
