Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
000780,2019-12-31,-0.08
000783,2019-12-31,0.3
000785,2019-12-31,0.54
000786,2019-12-31,0.261
000789,2019-12-31,1.7169
000791,2019-12-31,0.3108
000792,2019-12-31,-16.46
000795,2019-12-31,0.13
000796,2019-12-31,0.1565
000797,2019-12-31,0.2058
000799,2019-12-31,0.9217
000800,2019-12-31,0.0324
000801,2019-12-31,0.0266
000802,2019-12-31,-3.2209
000807,2019-12-31,0.19
000810,2019-12-31,0.61
000811,2019-12-31,0.68
000813,2019-12-31,0.1519
000815,2019-12-31,0.07
000816,2019-12-31,-0.68
000818,2019-12-31,0.44
000820,2019-12-31,-3.21
000821,2019-12-31,-0.98
000822,2019-12-31,0.18
000823,2019-12-31,0.5645
000825,2019-12-31,0.372
000826,2019-12-31,0.211
000828,2019-12-31,1.0331
000829,2019-12-31,0.05
000830,2019-12-31,1.147
000831,2019-12-31,0.0876
000833,2019-12-31,0.1242
000835,2019-12-31,-1.25
000836,2019-12-31,0.0339
000837,2019-12-31,-0.4291
000839,2019-12-31,0.0017
000848,2019-12-31,0.47
000851,2019-12-31,0.0262
000852,2019-12-31,0.0321
000858,2019-12-31,4.483
000860,2019-12-31,1.0909
000861,2019-12-31,0.07
000863,2019-12-31,0.21
000869,2019-12-31,1.65
000875,2019-12-31,0.07
000876,2019-12-31,1.22
000877,2019-12-31,1.5598
000878,2019-12-31,0.3941
000881,2019-12-31,0.1002
000882,2019-12-31,0.0176
000883,2019-12-31,0.23
000885,2019-12-31,1.2574
000886,2019-12-31,0.06
000887,2019-12-31,0.49
000888,2019-12-31,0.4292
000889,2019-12-31,-1.8558
000890,2019-12-31,-2.05
000892,2019-12-31,-0.56
000895,2019-12-31,1.6382
000898,2019-12-31,0.19
000899,2019-12-31,0.25
000900,2019-12-31,0.64
000902,2019-12-31,0.5
000903,2019-12-31,0.097
000906,2019-12-31,0.74
000908,2019-12-31,-1.0034
000910,2019-12-31,1.3
000915,2019-12-31,0.87
000919,2019-12-31,0.2883
000920,2019-12-31,0.22
000921,2019-12-31,1.32
000922,2019-12-31,0.7038
000923,2019-12-31,0.8099
000925,2019-12-31,0.24
000926,2019-12-31,0.62
000928,2019-12-31,0.4255
000930,2019-12-31,0.3209
000931,2019-12-31,0.1264
000932,2019-12-31,1.0401
000933,2019-12-31,0.71
000936,2019-12-31,0.63
000937,2019-12-31,0.2551
000938,2019-12-31,0.902
000939,2019-12-31,-0.96
000948,2019-12-31,0.1846
000949,2019-12-31,0.103
000950,2019-12-31,0.46
000951,2019-12-31,1.82
000952,2019-12-31,0.35
000955,2019-12-31,0.009
000957,2019-12-31,0.0558
000958,2019-12-31,0.25
000959,2019-12-31,0.2365
000960,2019-12-31,0.5126
000961,2019-12-31,1.1151
000962,2019-12-31,0.0934
000963,2019-12-31,1.61
000965,2019-12-31,0.171
000966,2019-12-31,0.517
000967,2019-12-31,0.43
000968,2019-12-31,0.58
000969,2019-12-31,0.1606
000970,2019-12-31,0.19
000971,2019-12-31,-0.59
000975,2019-12-31,0.439
000976,2019-12-31,0.19
000977,2019-12-31,0.7204
000978,2019-12-31,0.153
000980,2019-12-31,-5.52
000981,2019-12-31,-1.78
000983,2019-12-31,0.5427
000985,2019-12-31,0.35
000987,2019-12-31,0.428
000988,2019-12-31,0.5
000989,2019-12-31,0.23
000990,2019-12-31,0.363
000993,2019-12-31,0.23
000997,2019-12-31,0.6702
000998,2019-12-31,-0.23
000999,2019-12-31,2.16
001696,2019-12-31,0.3685
001872,2019-12-31,1.59
001914,2019-12-31,0.409
001965,2019-12-31,0.7003
001979,2019-12-31,1.99
002001,2019-12-31,1.01
002002,2019-12-31,0.2433
002003,2019-12-31,0.39
002004,2019-12-31,0.31
002005,2019-12-31,0.1496
002006,2019-12-31,-0.27
002007,2019-12-31,0.9148
002008,2019-12-31,0.61
002009,2019-12-31,0.19
002010,2019-12-31,0.49
002011,2019-12-31,0.14
002013,2019-12-31,0.27
002014,2019-12-31,0.54
002015,2019-12-31,0.4093
002016,2019-12-31,1.0904
002019,2019-12-31,0.75
002020,2019-12-31,0.729
002022,2019-12-31,0.3947
002023,2019-12-31,0.1
002024,2019-12-31,1.07
002025,2019-12-31,0.94
002026,2019-12-31,-0.28
002027,2019-12-31,0.13
002028,2019-12-31,0.73
002029,2019-12-31,0.46
002030,2019-12-31,0.1156
002032,2019-12-31,2.347
002033,2019-12-31,0.3703
002034,2019-12-31,0.99
002035,2019-12-31,0.8519
002036,2019-12-31,0.37
002037,2019-12-31,0.3
002038,2019-12-31,0.4738
002039,2019-12-31,0.9503
002040,2019-12-31,0.2689
002041,2019-12-31,0.0473
002042,2019-12-31,0.27
002043,2019-12-31,0.51
002044,2019-12-31,-0.23
002045,2019-12-31,0.75
002047,2019-12-31,0.16
002048,2019-12-31,1.57
002049,2019-12-31,0.6687
002050,2019-12-31,0.52
002051,2019-12-31,0.85
002053,2019-12-31,0.345
002055,2019-12-31,-1.2205
002056,2019-12-31,0.42
002059,2019-12-31,0.0935
002060,2019-12-31,0.1946
002061,2019-12-31,0.53
002062,2019-12-31,0.32
002063,2019-12-31,0.2671
002064,2019-12-31,0.43
002065,2019-12-31,0.1874
002067,2019-12-31,0.17
002068,2019-12-31,-0.3801
002069,2019-12-31,-0.5515
002071,2019-12-31,-1.7981
002073,2019-12-31,0.0836
002074,2019-12-31,0.05
002075,2019-12-31,0.24
002076,2019-12-31,-0.77
002077,2019-12-31,-0.82
002078,2019-12-31,0.84
002080,2019-12-31,0.8223
002081,2019-12-31,0.88
002083,2019-12-31,0.41
002084,2019-12-31,0.2634
002085,2019-12-31,0.36
002086,2019-12-31,-1.35
002087,2019-12-31,0.3421
002088,2019-12-31,0.96
002089,2019-12-31,0.05
002090,2019-12-31,0.2394
002091,2019-12-31,0.6
002092,2019-12-31,0.1598
002093,2019-12-31,0.1063
002094,2019-12-31,0.03
002095,2019-12-31,0.14
002097,2019-12-31,0.4731
002098,2019-12-31,0.1522
002099,2019-12-31,0.48
002100,2019-12-31,0.6
002101,2019-12-31,0.05
002102,2019-12-31,0.2617
002105,2019-12-31,0.114
002106,2019-12-31,0.4
002108,2019-12-31,0.1171
002109,2019-12-31,0.1388
002110,2019-12-31,1.5
002111,2019-12-31,0.88
002113,2019-12-31,-1.402
002115,2019-12-31,0.2224
002116,2019-12-31,0.14
002117,2019-12-31,0.4888
002120,2019-12-31,1.19
002121,2019-12-31,-1.6871
002122,2019-12-31,-1.3923
002123,2019-12-31,-0.36
002124,2019-12-31,0.09
002125,2019-12-31,0.12
002126,2019-12-31,0.4
002127,2019-12-31,0.49
002128,2019-12-31,1.28
002129,2019-12-31,0.3245
002130,2019-12-31,0.17
002131,2019-12-31,0.05
002132,2019-12-31,0.07
002133,2019-12-31,0.3
002135,2019-12-31,0.26
002136,2019-12-31,0.1506
002137,2019-12-31,0.1507
002138,2019-12-31,0.5
002139,2019-12-31,0.33
002140,2019-12-31,0.33
002141,2019-12-31,0.0071
002142,2019-12-31,2.41
002145,2019-12-31,0.2756
002146,2019-12-31,2.1
002148,2019-12-31,-0.05
002149,2019-12-31,0.1445
002150,2019-12-31,0.43
002151,2019-12-31,-1.31
002152,2019-12-31,0.31
002153,2019-12-31,0.34
002154,2019-12-31,0.17
002155,2019-12-31,0.13
002156,2019-12-31,0.02
002157,2019-12-31,0.69
002158,2019-12-31,0.4629
002159,2019-12-31,0.08
002160,2019-12-31,0.03
002161,2019-12-31,1.0047
002162,2019-12-31,0.0444
002164,2019-12-31,0.03
002165,2019-12-31,0.15
002167,2019-12-31,-0.33
002168,2019-12-31,0.17
002169,2019-12-31,0.1551
002170,2019-12-31,0.0344
002171,2019-12-31,0.365
002172,2019-12-31,-0.55
002173,2019-12-31,-2.53
002174,2019-12-31,0.3
002176,2019-12-31,-1.19
002179,2019-12-31,1.0422
002180,2019-12-31,0.7
002182,2019-12-31,1.4083
002183,2019-12-31,0.04
002184,2019-12-31,0.2191
002185,2019-12-31,0.1134
002186,2019-12-31,0.1447
002189,2019-12-31,0.38
002190,2019-12-31,1.7909
002191,2019-12-31,0.6
002192,2019-12-31,-1.256
002193,2019-12-31,0.18
002194,2019-12-31,0.47
002195,2019-12-31,0.13
002196,2019-12-31,0.04
002197,2019-12-31,0.04
002200,2019-12-31,0.1949
002202,2019-12-31,0.512
002203,2019-12-31,0.5567
002205,2019-12-31,0.0362
002206,2019-12-31,0.28
002210,2019-12-31,-7.46
002212,2019-12-31,0.35
002214,2019-12-31,0.3
002215,2019-12-31,0.261
002216,2019-12-31,0.27
002217,2019-12-31,0.35
002218,2019-12-31,0.063
002219,2019-12-31,-1.3269
002220,2019-12-31,-2.49
002221,2019-12-31,0.6984
002222,2019-12-31,0.3147
002223,2019-12-31,0.75
002225,2019-12-31,0.27
002226,2019-12-31,0.324
002228,2019-12-31,0.23
002229,2019-12-31,0.0707
002230,2019-12-31,0.4
002231,2019-12-31,0.1343
002233,2019-12-31,1.4574
002234,2019-12-31,5.33
002235,2019-12-31,0.0388
002236,2019-12-31,1.1
002237,2019-12-31,0.34
002238,2019-12-31,0.31
002239,2019-12-31,0.0326
002240,2019-12-31,-0.11
002241,2019-12-31,0.4
002242,2019-12-31,1.07
002243,2019-12-31,0.4606
002244,2019-12-31,0.52
002245,2019-12-31,0.1199
002246,2019-12-31,0.25
002247,2019-12-31,-1.86
002249,2019-12-31,0.02
002250,2019-12-31,0.16
002251,2019-12-31,0.2
002252,2019-12-31,0.12
002253,2019-12-31,0.23
002254,2019-12-31,0.35
002255,2019-12-31,-2.1899
002256,2019-12-31,-0.16
002258,2019-12-31,0.5934
002261,2019-12-31,0.02
002262,2019-12-31,0.66
002264,2019-12-31,-1.11
002266,2019-12-31,0.08
002267,2019-12-31,0.4019
002268,2019-12-31,0.1858
002269,2019-12-31,-0.33
002271,2019-12-31,1.44
002272,2019-12-31,0.1533
002273,2019-12-31,0.44
002274,2019-12-31,0.2116
