Stkcd,Accper,Indcd
000001,2019/3/31,J66
000001,2019/6/30,J66
000001,2019/9/30,J66
000001,2019/12/31,J66
000002,2019/3/31,K70
000002,2019/6/30,K70
000002,2019/9/30,K70
000002,2019/12/31,K70
000004,2019/3/31,C27
000004,2019/6/30,C27
000004,2019/9/30,C27
000004,2019/12/31,C27
000005,2019/3/31,N77
000005,2019/6/30,N77
000005,2019/9/30,N77
000005,2019/12/31,N77
000006,2019/3/31,K70
000006,2019/6/30,K70
000006,2019/9/30,K70
000006,2019/12/31,K70
000007,2019/3/31,K70
000007,2019/6/30,K70
000007,2019/9/30,K70
000007,2019/12/31,K70
000008,2019/3/31,C37
000008,2019/6/30,C37
000008,2019/9/30,C37
000008,2019/12/31,C37
000009,2019/3/31,S90
000009,2019/6/30,S90
000009,2019/9/30,S90
000009,2019/12/31,S90
000010,2019/3/31,E48
000010,2019/6/30,E48
000010,2019/9/30,E48
000010,2019/12/31,E48
000011,2019/3/31,K70
000011,2019/6/30,K70
000011,2019/9/30,K70
000011,2019/12/31,K70
000012,2019/3/31,C30
000012,2019/6/30,C30
000012,2019/9/30,C30
000012,2019/12/31,C30
000014,2019/3/31,K70
000014,2019/6/30,K70
000014,2019/9/30,K70
000014,2019/12/31,K70
000016,2019/3/31,C39
000016,2019/6/30,C39
000016,2019/9/30,C39
000016,2019/12/31,C39
000017,2019/3/31,C37
000017,2019/6/30,C37
000017,2019/9/30,C37
000017,2019/12/31,C37
000018,2019/3/31,E50
000018,2019/6/30,E50
000018,2019/9/30,E50
000019,2019/3/31,F51
000019,2019/6/30,F51
000019,2019/9/30,F51
000019,2019/12/31,F51
000020,2019/3/31,C39
000020,2019/6/30,C39
000020,2019/9/30,C39
000020,2019/12/31,C39
000021,2019/3/31,C39
000021,2019/6/30,C39
000021,2019/9/30,C39
000021,2019/12/31,C39
000023,2019/3/31,C30
000023,2019/6/30,C30
000023,2019/9/30,C30
000023,2019/12/31,C30
000025,2019/3/31,F51
000025,2019/6/30,F51
000025,2019/9/30,F51
000025,2019/12/31,F51
