嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-08-21,000626,1,4669,14,11,2,4.27,3,502,357,F51,,
2017-09-12,000626,1,1864,1,0,0,4.33,3,503,357,F51,,
2017-11-27,000626,1,7695,10,0,2,2.54,4,750,315,F51,,
2017-12-27,000626,1,1653,1,0,1,4.62,3,502,357,F51,,
2017-12-28,000626,1,7617,9,7,3,2.21,4,643,336,F51,,
2017-04-19,000629,1,15851,3,3,1,4.06,4,1123,0,B08,,
2017-12-26,000631,2,8722.5,20.5,0,4,4.78,3,29,323,K70,,
2017-07-20,000631,1,123614,499,67,56,5.19,2,478,314,K70,,
2017-12-30,000633,1,38480,57,10,10,2.02,3.5,482,312,C38,,
2017-04-10,000633,1,128741,79,17,20,1.29,3.5,479,324,C38,,
2017-04-21,000633,2,8.5,0,0,0,4.07,3.5,1323,0,C38,,
2017-05-16,000633,2,15,0,0,0,4.14,3.5,1325,0,C38,,
2017-06-02,000633,2,21,0,0,0,4.18,3.5,1319,0,C38,,
2017-06-19,000633,2,7,0,0,0,4.23,3.5,1319,0,C38,,
2017-11-06,000633,1,49491,21,21,7,4.61,3.5,1259,0,C38,,
2017-11-17,000633,1,41286,28,28,13,4.64,3.5,1259,0,C38,,
2017-03-20,000633,1,30131,28,4,2,1.24,3.5,474,365,C38,,
2017-04-05,000633,2,35.5,0,0,0,4.02,3.5,1325,0,C38,,
2017-03-01,000633,2,32,0,0,0,3.93,3.5,1325,0,C38,,
2017-03-17,000633,1,1,0,0,0,3.97,3.5,1331,0,C38,,
2017-01-03,000635,2,74235.5,169.5,46.5,33,1.89,4.5,2857,346,C26,,
2017-09-07,000635,1,59489,38,38,23,4.45,3.5,1115,0,C26,,
2017-09-27,000635,2,25634,14,14,25,4.5,3.5,1115,0,C26,,
2017-05-22,000637,1,7153,15,11,10,2.1,3,433,356,C25,,
2017-12-18,000637,1,9350,9,5,1,2.2,3.5,2654,326,C25,,
2017-07-10,000637,1,16777,30,6,5,3.27,2.5,225,355,C25,,
2017-04-05,000638,1,1184,1,1,0,1.78,2,69,10,F51,,
2017-07-18,000652,1,10325,20,5,6,2.08,3.5,1358,364,F51,,
2017-12-05,000652,1,1012,0,1,2,1.94,2.5,2464,382,F51,,
2017-12-18,000652,1,3138,3,3,3,1.98,2.5,2464,382,F51,,
2017-10-21,000652,1,1783,1,0,0,1.71,2.5,2609,299,F51,,
2017-06-16,000652,1,8277,10,6,3,4.05,4,3592,381,F51,,
2017-08-07,000652,1,6074,6,0,0,1.51,2.5,2609,299,F51,,
2017-06-01,000652,1,5419,9,2,8,1.95,3.5,1358,361,F51,,
2017-05-12,000652,1,5690,9,2,4,1.9,3.5,1358,364,F51,,
2017-06-05,000652,2,16800.5,21,4,4.5,1.96,3.5,1358,364,F51,,
2017-12-22,000668,1,3533,4,2,1,5.84,2,3,211,K70,,
2017-12-28,000668,1,17647,30,6,1,2.76,1.5,30,347,K70,,
2017-11-08,000670,1,9543,6,6,7,0.05,1,1,0,C39,,
2017-11-30,000670,1,8366,10,6,0,1.97,3,300,334,C39,,
2017-06-06,000677,1,2727,3,0,0,8.55,3,210,392,C28,,
