嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-04-26,000415,1,102014,15,15,22,4.08,4,3568,0,L71,,
2017-03-30,000417,1,14356,5,5,0,4.01,3,2370,0,F52,,
2017-11-21,000425,1,1222198,3043,90,119,6.02,4,349,302,C35,,
2017-12-19,000428,1,3342,9,4,1,3.69,3,1415,354,H61,,
2017-12-13,000428,1,4350,7,1,0,3.67,3,1415,354,H61,,
2017-11-09,000428,1,4189,11,0,1,3.58,3,1382,304,H61,,
2017-11-16,000505,1,31348,8,1,0,3.97,2.5,128,318,K70,,
2017-06-13,000507,1,8576,16,7,2,2.02,3.5,526,399,G55,,
2017-09-14,000519,1,62528,96,82,17,2.31,2.5,13,236,C35,,
2017-01-24,000519,1,12385,3,3,0,3.83,4,1484,0,C35,,
2017-08-31,000529,1,41931,6,6,4,4.43,3,889,0,C13,,
2017-09-19,000530,1,92183,11,0,9,4.48,3,1358,0,C34,,
2017-10-10,000532,1,38011,7,7,35,4.54,3.5,1848,0,S90,,
2017-10-11,000532,1,30259,3,3,5,4.54,3.5,1848,0,S90,,
2017-10-12,000532,1,59046,57,57,3,4.55,3.5,1848,0,S90,,
2017-11-30,000532,1,11542,2,2,7,4.68,3.5,1883,0,S90,,
2017-05-07,000536,1,31670,9,0,5,4.11,3.5,2687,0,C39,,
2017-05-31,000536,1,7810,9,9,11,5.19,3.5,1784,376,C39,,
2017-03-21,000536,1,4303,2,1,1,5,3.5,1784,376,C39,,
2017-05-18,000538,1,12876,23,1,4,0.08,3,1118,382,C27,,
2017-11-26,000540,1,14636,17,0,4,2.03,2.5,252,327,K70,,
2017-07-26,000540,2,89997.5,103,75,60,2.91,4,217,311,K70,,
2017-09-01,000540,2,307468.5,381.5,0,56.5,1.71,2.75,101,181,K70,,
2017-10-26,000550,1,55732,158,8,5,1.95,2.5,81,381,C36,,
2017-12-21,000555,1,4700,16,4,2,3.35,3.5,5841,389,I65,,
2017-12-15,000555,1,10841,20,5,10,3.33,3.5,5841,389,I65,,
2017-05-23,000568,1,11362,22,1,1,0.1,3,1118,374,C15,,
2017-08-01,000568,1,5532,9,7,3,3.93,3.5,513,337,C15,,
2017-05-30,000568,1,40459,47,25,26,3.3,4,48,346,C15,,
2017-11-20,000571,1,15769,41,6,10,7.22,3.5,386,365,S90,,
2017-09-21,000571,1,10993,20,7,4,7.05,3.5,386,365,S90,,
2017-12-16,000571,1,28341,59,21,17,7.29,3.5,386,365,S90,,
2017-08-02,000571,2,13,0,0,0,4.35,3.5,847,0,S90,,
