PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-07-06,002673,1,19292,14,0,9,1.82,4,310,378,J67,,
2017-05-22,002673,1,9417,12,0,0,2.05,2.5,321,358,J67,,
2017-12-10,002673,1,22001,33,5,4,2.38,3.5,277,349,J67,,
2017-11-29,002673,1,3046,0,0,0,2.88,3.5,679,301,J67,,
2017-11-15,002673,1,123814,46,10,7,2.31,3.5,277,349,J67,,
2017-05-10,002673,1,135114,94,40,61,1.35,3.5,1197,330,J67,,
2017-04-27,002673,1,109777,93,40,35,1.31,3.5,1197,330,J67,,
2017-04-22,002736,1,137031,92,39,14,1.3,3.5,1187,384,J67,,
2017-09-18,002797,2,7972.5,44.5,0,3.5,0.42,0,1057,345,J67,,
2017-09-27,002797,1,95436,74,25,15,6.02,3.5,1998,322,J67,,
2017-10-08,002797,1,23469,102,4,1,0.59,2,39,380,J67,,
2017-10-18,002797,1,77348,134,52,41,3,4,1882,334,J67,,
2017-11-17,002797,1,3253,5,0,0,0.7,3,429,365,J67,,
2017-05-22,002797,1,33410,36,36,8,0,1,1,0,J67,,
2017-05-21,002797,1,1544,2,0,2,3.38,2.5,400,394,J67,,
2017-08-07,002797,1,1435,2,2,2,2.19,0.5,3,239,J67,,
2017-06-04,002797,1,2663,8,1,1,3.21,3.5,1216,360,J67,,
2017-09-08,002797,1,8333,11,8,1,2.25,2.5,405,30,J67,,
2017-09-04,002797,1,75011,129,64,48,0.23,2,31,371,J67,,
2017-12-18,002839,3,4129.67,3.67,1.33,1,7.06,3.5,760,375,J66,,
2017-12-19,002839,1,30535,115,95,11,4.72,3,531,349,J66,,
2017-07-28,002839,1,75281,36,36,17,2.25,3.5,645,0,J66,,
2017-06-16,002839,1,1676,0,0,0,0.13,1,13,123,J66,,
2017-05-10,002839,1,85404,12,0,3,3.12,1,25,172,J66,,
2017-07-03,600000,1,18287,74,50,4,1.03,3.5,1338,347,J66,,
2017-12-28,600000,1,30387078,42992,0,223,3.59,3.5,51,353,J66,,
2017-10-19,600000,1,6535,14,14,0,1.47,2,446,309,J66,,
2017-11-24,600015,1,1700,1,1,1,2.5,1.5,411,344,J66,,
2017-11-14,600015,1,62128,91,0,8,0.66,3,379,354,J66,,
2017-08-25,600015,1,12002,24,0,5,0.36,0,1057,345,J66,,
2017-09-08,600016,1,21230,69,18,4,2.99,3,630,324,J66,,
2017-08-29,600016,1,40432,63,36,23,3.17,3,129,381,J66,,
2017-08-17,600016,1,16682,21,3,5,1.28,0,12,383,J66,,
2017-12-05,600016,1,5495,2,2,4,1.94,3,2367,326,J66,,
2017-11-26,600016,1,5217,5,5,1,1.91,3,2367,326,J66,,
2017-11-17,600016,1,47784,39,27,8,1.51,2,85,364,J66,,
2017-11-15,600016,1,9515,20,20,6,0,1,1,41,J66,,
2017-11-13,600016,1,7621,11,11,1,1.88,3,2367,326,J66,,
2017-10-26,600016,1,2607,2,0,1,3.12,3,631,383,J66,,
2017-10-15,600016,1,31498,58,54,12,9.24,3,382,319,J66,,
2017-05-03,600016,1,1832,4,0,2,2.64,3,631,394,J66,,
2017-05-04,600016,1,25145,77,49,18,2.64,3,631,394,J66,,
