Stkcd,Accper,Typrep,Indcd
000655,2020-12-31,A,B08
000656,2020-12-31,A,K70
000657,2020-12-31,A,C32
000659,2020-12-31,A,C29
000661,2020-12-31,A,C27
000663,2020-12-31,A,C21
000665,2020-12-31,A,R86
000666,2020-12-31,A,J67
000667,2020-12-31,A,K70
000668,2020-12-31,A,K70
000669,2020-12-31,A,D45
000670,2020-12-31,A,C39
000671,2020-12-31,A,K70
000672,2020-12-31,A,C30
000673,2020-12-31,A,R87
000676,2020-12-31,A,I64
000677,2020-12-31,A,C28
000678,2020-12-31,A,C34
000679,2020-12-31,A,F52
000680,2020-12-31,A,C35
000681,2020-12-31,A,R87
000682,2020-12-31,A,I65
000683,2020-12-31,A,C26
000685,2020-12-31,A,D46
000686,2020-12-31,A,J67
000687,2020-12-31,A,C39
000688,2020-12-31,A,B09
000690,2020-12-31,A,D44
000691,2020-12-31,A,C26
000692,2020-12-31,A,D44
000695,2020-12-31,A,C23
000697,2020-12-31,A,C37
000698,2020-12-31,A,C25
000700,2020-12-31,A,C36
000701,2020-12-31,A,F51
000702,2020-12-31,A,C13
000703,2020-12-31,A,C28
000705,2020-12-31,A,F51
000707,2020-12-31,A,C26
000708,2020-12-31,A,C31
000709,2020-12-31,A,C31
000710,2020-12-31,A,M74
000711,2020-12-31,A,E48
000712,2020-12-31,A,J67
000713,2020-12-31,A,A05
000715,2020-12-31,A,F52
000716,2020-12-31,A,C14
000717,2020-12-31,A,C31
000718,2020-12-31,A,K70
000719,2020-12-31,A,R85
000720,2020-12-31,A,K70
000721,2020-12-31,A,H62
000722,2020-12-31,A,D44
000723,2020-12-31,A,C25
000725,2020-12-31,A,C39
000726,2020-12-31,A,C17
000727,2020-12-31,A,C39
000728,2020-12-31,A,J67
000729,2020-12-31,A,C15
000731,2020-12-31,A,C26
000732,2020-12-31,A,K70
000733,2020-12-31,A,C39
000735,2020-12-31,A,A03
000736,2020-12-31,A,K70
000737,2020-12-31,A,C26
000738,2020-12-31,A,C37
000739,2020-12-31,A,C27
000750,2020-12-31,A,J67
000751,2020-12-31,A,C32
000752,2020-12-31,A,C15
000753,2020-12-31,A,F52
000755,2020-12-31,A,G54
000756,2020-12-31,A,C27
000757,2020-12-31,A,F52
000758,2020-12-31,A,B09
000759,2020-12-31,A,F52
000761,2020-12-31,A,C31
000762,2020-12-31,A,B08
000766,2020-12-31,A,C27
000767,2020-12-31,A,D44
000768,2020-12-31,A,C37
000776,2020-12-31,A,J67
000777,2020-12-31,A,C34
000778,2020-12-31,A,C33
000779,2020-12-31,A,M74
000780,2020-12-31,A,B06
000782,2020-12-31,A,C28
000783,2020-12-31,A,J67
000785,2020-12-31,A,F52
000786,2020-12-31,A,C30
000788,2020-12-31,A,C27
000789,2020-12-31,A,C30
000790,2020-12-31,A,C27
000791,2020-12-31,A,D44
000792,2020-12-31,A,C26
000793,2020-12-31,A,R85
000795,2020-12-31,A,C30
000796,2020-12-31,A,L72
000797,2020-12-31,A,K70
000798,2020-12-31,A,A04
000799,2020-12-31,A,C15
000800,2020-12-31,A,C36
000801,2020-12-31,A,C39
000802,2020-12-31,A,R86
000803,2020-12-31,A,C38
000806,2020-12-31,A,C38
000807,2020-12-31,A,C32
000809,2020-12-31,A,N78
000810,2020-12-31,A,C39
000811,2020-12-31,A,C34
000812,2020-12-31,A,C23
000813,2020-12-31,A,C27
000815,2020-12-31,A,C22
000816,2020-12-31,A,C34
000818,2020-12-31,A,C26
000819,2020-12-31,A,C25
000820,2020-12-31,A,C42
000821,2020-12-31,A,C35
000822,2020-12-31,A,C26
000823,2020-12-31,A,C39
000825,2020-12-31,A,C31
000826,2020-12-31,A,N77
000828,2020-12-31,A,G54
000829,2020-12-31,A,F51
000830,2020-12-31,A,C26
000831,2020-12-31,A,C32
000833,2020-12-31,A,S90
000835,2020-12-31,A,I64
000836,2020-12-31,A,C38
000837,2020-12-31,A,C34
000838,2020-12-31,A,K70
000839,2020-12-31,A,I63
000848,2020-12-31,A,C15
000850,2020-12-31,A,C17
000851,2020-12-31,A,F52
000852,2020-12-31,A,C35
000856,2020-12-31,A,C35
000858,2020-12-31,A,C15
000859,2020-12-31,A,C29
000860,2020-12-31,A,C15
000861,2020-12-31,A,L72
000862,2020-12-31,A,D44
000863,2020-12-31,A,K70
000868,2020-12-31,A,C36
000869,2020-12-31,A,C15
000875,2020-12-31,A,D44
000876,2020-12-31,A,C13
000877,2020-12-31,A,C30
000878,2020-12-31,A,C32
000880,2020-12-31,A,C34
000881,2020-12-31,A,C26
000882,2020-12-31,A,L72
000883,2020-12-31,A,D44
000885,2020-12-31,A,G54
000886,2020-12-31,A,K70
000887,2020-12-31,A,C29
000888,2020-12-31,A,N78
000889,2020-12-31,A,I65
000890,2020-12-31,A,C33
000892,2020-12-31,A,R86
000893,2020-12-31,A,C26
000895,2020-12-31,A,C13
000897,2020-12-31,A,K70
000898,2020-12-31,A,C31
000899,2020-12-31,A,D44
000900,2020-12-31,A,G54
000901,2020-12-31,A,C36
000902,2020-12-31,A,C26
000903,2020-12-31,A,C34
000905,2020-12-31,A,G55
000906,2020-12-31,A,F51
000908,2020-12-31,A,C27
000909,2020-12-31,A,K70
000910,2020-12-31,A,C20
000911,2020-12-31,A,C13
000912,2020-12-31,A,C26
000913,2020-12-31,A,C37
000915,2020-12-31,A,C27
000917,2020-12-31,A,I63
000918,2020-12-31,A,K70
000919,2020-12-31,A,C27
000920,2020-12-31,A,C26
000921,2020-12-31,A,C38
000922,2020-12-31,A,C38
000923,2020-12-31,A,B08
000925,2020-12-31,A,C35
000926,2020-12-31,A,K70
000927,2020-12-31,A,C36
000928,2020-12-31,A,E48
000929,2020-12-31,A,C15
000930,2020-12-31,A,C26
000931,2020-12-31,A,C27
000932,2020-12-31,A,C31
000933,2020-12-31,A,C32
000935,2020-12-31,A,C30
000936,2020-12-31,A,C28
000937,2020-12-31,A,B06
000938,2020-12-31,A,C39
000948,2020-12-31,A,I65
000949,2020-12-31,A,C28
000950,2020-12-31,A,F51
000951,2020-12-31,A,C36
000952,2020-12-31,A,C27
000953,2020-12-31,A,C26
000955,2020-12-31,A,C17
000957,2020-12-31,A,C36
000958,2020-12-31,A,J69
000959,2020-12-31,A,C31
000960,2020-12-31,A,C32
000961,2020-12-31,A,K70
000962,2020-12-31,A,C32
000963,2020-12-31,A,F52
000965,2020-12-31,A,K70
000966,2020-12-31,A,D44
000967,2020-12-31,A,N77
000968,2020-12-31,A,B07
000969,2020-12-31,A,C33
000970,2020-12-31,A,C39
000971,2020-12-31,A,I65
000972,2020-12-31,A,C13
000973,2020-12-31,A,C29
000975,2020-12-31,A,B09
000976,2020-12-31,A,C37
000977,2020-12-31,A,C39
000978,2020-12-31,A,N78
000980,2020-12-31,A,C36
000981,2020-12-31,A,C36
000982,2020-12-31,A,C17
000983,2020-12-31,A,B06
000985,2020-12-31,A,C26
000987,2020-12-31,A,J69
000988,2020-12-31,A,C39
000989,2020-12-31,A,C27
000990,2020-12-31,A,C26
000993,2020-12-31,A,D44
000995,2020-12-31,A,C15
000996,2020-12-31,A,F51
000997,2020-12-31,A,I65
000998,2020-12-31,A,A01
000999,2020-12-31,A,C27
001696,2020-12-31,A,C37
001872,2020-12-31,A,G55
001896,2020-12-31,A,D44
001914,2020-12-31,A,K70
001965,2020-12-31,A,G54
001979,2020-12-31,A,K70
002001,2020-12-31,A,C27
002002,2020-12-31,A,C26
002003,2020-12-31,A,C18
002004,2020-12-31,A,C26
002005,2020-12-31,A,C38
002006,2020-12-31,A,C35
002007,2020-12-31,A,C27
002008,2020-12-31,A,C35
002009,2020-12-31,A,C34
002010,2020-12-31,A,L72
002011,2020-12-31,A,C34
002012,2020-12-31,A,C22
002013,2020-12-31,A,C37
002014,2020-12-31,A,C29
002015,2020-12-31,A,D44
002016,2020-12-31,A,K70
002017,2020-12-31,A,C39
002019,2020-12-31,A,C27
002020,2020-12-31,A,C27
002021,2020-12-31,A,C35
002022,2020-12-31,A,C27
002023,2020-12-31,A,C37
002024,2020-12-31,A,F52
002025,2020-12-31,A,C39
002026,2020-12-31,A,C33
002027,2020-12-31,A,L72
002028,2020-12-31,A,C38
002029,2020-12-31,A,C18
002030,2020-12-31,A,C27
002031,2020-12-31,A,C35
002032,2020-12-31,A,C33
002033,2020-12-31,A,N78
002034,2020-12-31,A,N77
002035,2020-12-31,A,C38
002036,2020-12-31,A,C39
002037,2020-12-31,A,C26
002038,2020-12-31,A,C27
002039,2020-12-31,A,D44
002040,2020-12-31,A,G55
002041,2020-12-31,A,A01
002042,2020-12-31,A,C17
002043,2020-12-31,A,C20
002044,2020-12-31,A,Q83
002045,2020-12-31,A,C39
002046,2020-12-31,A,C34
002047,2020-12-31,A,E50
002048,2020-12-31,A,C36
002049,2020-12-31,A,C39
002050,2020-12-31,A,C34
002051,2020-12-31,A,E48
002052,2020-12-31,A,C39
002053,2020-12-31,A,C14
002054,2020-12-31,A,C26
002055,2020-12-31,A,C39
002056,2020-12-31,A,C38
002057,2020-12-31,A,C26
002058,2020-12-31,A,C40
002059,2020-12-31,A,N78
002060,2020-12-31,A,E48
002061,2020-12-31,A,E48
002062,2020-12-31,A,E48
002063,2020-12-31,A,I65
002064,2020-12-31,A,C28
002065,2020-12-31,A,I65
002066,2020-12-31,A,C30
002067,2020-12-31,A,C22
002068,2020-12-31,A,C26
002069,2020-12-31,A,A04
002071,2020-12-31,A,R86
002072,2020-12-31,A,I64
002073,2020-12-31,A,C35
002074,2020-12-31,A,C38
002075,2020-12-31,A,C31
002076,2020-12-31,A,C38
002077,2020-12-31,A,K70
002078,2020-12-31,A,C22
002079,2020-12-31,A,C39
002080,2020-12-31,A,C30
002081,2020-12-31,A,E50
002082,2020-12-31,A,C32
002083,2020-12-31,A,C17
002084,2020-12-31,A,C33
002085,2020-12-31,A,C36
002086,2020-12-31,A,A04
002087,2020-12-31,A,C17
002088,2020-12-31,A,C30
002089,2020-12-31,A,C39
002090,2020-12-31,A,C38
002091,2020-12-31,A,F51
002092,2020-12-31,A,C26
002093,2020-12-31,A,I65
002094,2020-12-31,A,C26
002095,2020-12-31,A,I64
002096,2020-12-31,A,C26
002097,2020-12-31,A,C35
